St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM 231,,S,Sem: Africa/Americas,,1.00 ,N,ALS-L MCG,T 0935-1100 Th 0930-1050,RML 577 RML 577,"Iddrisu, Abdulai"
C,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
C,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
C,AMCON 102,A,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 1045-1140,RML 515,"Galdieri, Christopher Lagerquist, L. DeAne"
C,AMCON 102,B,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 1045-1140,RML 421,"Galdieri, Christopher Lagerquist, L. DeAne"
C,AMCON 202,A,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00 ,N,ALS-A HBS ORC WRI,MWF 1255-0150PM,BMC 109,"Gisselman, Gary C. Farrell, James"
C,AMCON 202,B,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00 ,N,ALS-A HBS ORC WRI,MWF 1255-0150PM,BMC 101,"Gisselman, Gary C. Farrell, James"
O,AMST 207,,T,Top: Cities & Beyond,,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,HH 403 HH 403,"Fure-Slocum, Eric J."
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/Body Ideals: WWII/Pres,,1.00 ,N,,,,"Swain, Corliss"
O,AMST 298,A,,IS/Music/Nature & Society,,1.00 ,N,,,,"Allister, Mark"
O,AMST 298,B,,"IS/Music, Nature, Society",,1.00 ,N,WRI,,,"Allister, Mark"
C,AMST 301,,S,Sem: American Man Limited to American Studies majors. All other students by consent of instructor only.,,1.00 ,N,,MWF 1150-1245PM,RNS 297,"LeBlanc, Diane C."
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
C,AMST 398,,,IR/American Spirituality,,1.00 ,N,,,,"Lagerquist, L. DeAne"
O,AMST 398,A,,IR/Men & Environmentalism,,1.00 ,N,WRI,,,"Farrell, James"
C,AR/AS 260,,,Arts of Japan,,1.00 ,N,ALS-A MCG,MWF 0200-0255PM,DC 305,"Kucera, Karil J."
C,ARMS 253,,T,"Top: Art, Race & Identity Open to all students.",,1.00 ,N,ALS-A MCD,T 1145-0110PM Th 1245-0205PM,DC 204 DC 204,"Rohn, Matthew"
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 102,A,,Foundation 2-D Media This course has class-year limits.,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 216 DC 216,"Saurer, John"
C,ART 102,B,,Foundation 2-D Media This course has class-year limits.,,1.00 ,N,ALS-A,MWF 1150-0150PM,DC 216,"Griep, Mary"
C,ART 103,,,Foundation 3-D Media This course has class-year limits.,,1.00 ,N,ALS-A,MWF 0800-1000,DC 106,"Dell, Irve"
C,ART 104,,,Foundation New Media This course has class-year limits.,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 100 DC 100,"Alvarez, Guido"
O,ART 151,,,Intro/Art History II Students in Art 151 must also register for one discussion section Art 151AD or BD or CD or DD.,,1.00 ,N,ALS-A HWC ORC,MW 0905-1000,DC 305,"Tradowsky, Christopher Rohn, Matthew"
X,ART 151,A,D,Intro/Art Hist II Discuss This discussion section has been canceled.,,0.00 ,N,,Th 0855-0950,DC 102,"Tradowsky, Christopher Rohn, Matthew"
O,ART 151,B,D,Intro/Art Hist II Discuss,,0.00 ,N,,F 0905-1000,DC 102,"Tradowsky, Christopher Rohn, Matthew"
X,ART 151,C,D,Intro/Art Hist II Discuss This discussion section has been canceled.,,0.00 ,N,,F 1045-1140,DC 210,"Tradowsky, Christopher Rohn, Matthew"
O,ART 151,D,D,Intro/Art Hist II Discuss,,0.00 ,N,,F 0905-1000,DC 305,"Tradowsky, Christopher Rohn, Matthew"
C,ART 205,,,Photography This course has class-year limits.,,1.00 ,N,ALS-A,MWF 1045-1245PM,DC 102,"Ojala, Margaret"
C,ART 207,,,Ceramics This course has class-year limits.,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 115 DC 115,"Gallas, Ron"
C,ART 222,,,"Watercolor Painting Prerequisite: Art 102 or Art 111 and 112 (or 110), and 113.",,1.00 ,N,,MWF 1045-1245PM,DC 116,"Arneson, Wendell"
C,ART 224,,,Sculpt: Metal Direct,,1.00 ,N,,MWF 1045-1245PM,DC 105,"Dell, Irve"
