St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
C,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 102,,,Foundation 2-D Media,,1.00 ,N,ALS-A,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 216 DC 216 DC 216,"Griep, Mary"
C,ART 207,,,Ceramics,,1.00 ,N,ALS-A,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 115 DC 115 DC 115,"Fisher, Kathryne"
O,ART 233,,,Advanced Drawing Open to all students who meet the prerequisite.,,1.00 ,N,,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 214 DC 214 DC 214,"Arneson, Wendell"
O,ART 239,,,Video Art Production,,1.00 ,N,ALS-A,M-F 0900-0300PM,DC 100,"Alvarez, Guido"
C,ART 246,,,Manhattan Art Interim This is an off-campus course.,,1.00 ,N,,,,"Dell, Irve"
O,ART 251,,,Art 1776-1880,,1.00 ,N,ALS-A HWC,M-F 1040-1240PM,DC 305,"Rohn, Matthew"
O,ART 253,,,Art Since 1945 Open to First-Year Students.,,1.00 ,N,ALS-A HWC,M-F 0100-0300PM,DC 305,"Tradowsky, Christopher"
C,ART 255,,,Ital Art in Context This is an off-campus course.,,1.00 ,N,ALS-A,,,"Thompson, Nancy M."
C,ART 294,,,Academic Internship,,1.00 ,Y,,,,"Griep, Mary"
O,ART 298,,,IS/Mixed Media Drawing,,1.00 ,N,,,,"Arneson, Wendell"
C,ART 298,A,,IS/Career: Illustration,,1.00 ,N,,,,"Griep, Mary"
O,ART 298,B,,IS/Visual Communications,,1.00 ,N,,,,"Alvarez, Guido"
O,ART 298,C,,IS/American Roadtrip,,1.00 ,N,,,,"Alvarez, Guido"
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/Professional Design,,1.00 ,N,,,,"Griep, Mary"
C,ART 398,A,,IR/Art Apprenticeship 2,,1.00 ,N,,,,"Saurer, John"
C,AS/EC 218,,,Econ Progress China This is an off-campus course.,,1.00 ,N,HBS MCG,,,"Pomponio, Xun"
O,AS/PS 245,,,Nation/Region/Globe/Asia,,1.00 ,N,HBS MCG,M-F 1040-1240PM,HH 403,"Tegtmeyer Pak, Katherine S."
C,AS/SA 239,,,Modern Southeast Asia This course is open to first-year students. This course has class-year limits.,,1.00 ,N,HBS MCG,M-F 1040-0100PM,HH 317,"Williamson, Thomas A."
O,ASIAN 144,,,Japan & Korea thru Films,,1.00 ,N,MCG ORC,M-F 1040-1200PM M-F 0100-0300PM,TOH 312 TOH 312,"Hoogenboom, Tomoko"
C,ASIAN 215,,,AsianCon2:Meet Sojourners Registration restricted to students in the Asian Con program. This is an off-campus course.,,1.00 ,N,,,,"Ito, Rika"
C,ASIAN 216,,,AsianCon2:Asia in America,,1.00 ,N,,,,Staff
C,ASIAN 237,,,Modern Chinese Lit & Soc,,1.00 ,N,ALS-L MCG WRI,M-F 0100-0300PM,TOH 314,"Chen, Luying"
C,ASIAN 294,,,Academic Internship,,1.00 ,Y,,,,"Entenmann, Robert"
O,ASIAN 298,,,IS/Minority ID Korea,,1.00 ,N,,,,"Kucera, Karil J."
C,ASIAN 298,A,,IS/Christianity in China,,1.00 ,N,,,,"Entenmann, Robert"
O,ASIAN 298,B,,IS/Thai Buddhism,,1.00 ,N,,,,"Reed, Barbara"
C,ASIAN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 398,,,IR/,,1.00 ,N,,,,Staff
