St,Course #,S,L,Course Name,_,CR,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM231,,S,Sem: Africa/Americas,,1.00,N,ALS-L MCG,T 0935-1100 Th 0930-1050,TOH 110 TOH 110,"Iddrisu, Abdulai"
C,AFAM294,,,Academic Internship,,1.00,Y,,,,Staff
O,AFAM298,,,IS/,,1.00,N,,,,Staff
C,AFAM394,,,Academic Internship,,1.00,Y,,,,Staff
O,AFAM398,,,IR/,,1.00,N,,,,Staff
O,ALSO101,A,T,Top: Beginning Arabic II Prerequisite: completion of ALSO 100 or permission of the instructor.,,1.00,N,,MWF 1255-0150PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO101,B,T,Top: Beginning Arabic II Prerequisite: completion of ALSO 100 or permission of the instructor.,,1.00,N,,MWF 0200-0255PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO103,,T,Top: Beginning Korean II Prerequisite: completion of ALSO 102 or permission of the instructor.,,1.00,N,,T 0120-0245PM Th 0215-0335PM,TOH 153 TOH 153,"Debska-McWilliams, Renata"
O,ALSO201,,T,Top: Intermed Arabic II Prerequisite: completion of ALSO 200 or permission of the instructor.,,1.00,N,,T 0800-0925 Th 0800-0920,TOH 153 TOH 153,"Debska-McWilliams, Renata"
C,AMCON102,A,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00,N,FYW HWC,MWF 1255-0150PM,TOH 212,"McClure, Robert W. Wells, Colin"
C,AMCON102,B,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00,N,FYW HWC,MWF 1255-0150PM,TOH 210,"McClure, Robert W. Wells, Colin"
C,AMCON202,A,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00,N,ALS-A HBS ORC WRI,MWF 1150-1245PM,OM 110,"Fure-Slocum, Eric J. Rohn, Matthew"
C,AMCON202,B,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00,N,ALS-A HBS ORC WRI,MWF 1150-1245PM,OM 140,"Fure-Slocum, Eric J. Rohn, Matthew"
C,AMST208,,T,Top: Ideals to Action,,1.00,N,ORC,MWF 0200-0255PM,HH 514,"Fure-Slocum, Eric J."
C,AMST294,,,Academic Internship,,1.00,Y,,,,Staff
O,AMST298,,,IS/,,1.00,N,,,,Staff
C,AMST298,A,,IS/1960s Radicalism,,1.00,N,,,,"Farrell, James"
C,AMST298,B,,IS/Indigenous Feminisms,,1.00,N,,,,"Anderson, Carolyn"
C,AMST301,,S,Sem: American Comedy,,1.00,N,,MWF 1255-0150PM,HH 514,"Kutulas, Judy"
C,AMST394,,,Academic Internship,,1.00,Y,,,,Staff
O,AMST398,,,IR/,,1.00,N,,,,Staff
C,AMST398,A,,IR/Activism in America,,1.00,N,,,,"Farrell, James"
C,AR/AS260,,,Arts of Japan,,1.00,N,ALS-A MCG,MWF 1255-0150PM,OM 10,"Kucera, Karil J."
C,ARMS251,,,Top: Multiculturalism/Ed,,1.00,N,MCD,MWF 1045-1140,TOH 214,"Kelly, Maria L."
C,ARMS294,,,Academic Internship,,1.00,Y,,,,Staff
O,ARMS298,,,IS/,,1.00,N,,,,Staff
C,ARMS394,,,Academic Internship,,1.00,Y,,,,Staff
O,ARMS398,,,IR/,,1.00,N,,,,Staff
C,ART102,A,,Foundation 2-D Media This course has class year limits.,,1.00,N,ALS-A,T 0800-1100 Th 0800-1050,DC 216 DC 216,"Saurer, John"
C,ART102,B,,Foundation 2-D Media This course has class year limits.,,1.00,N,ALS-A,MWF 1045-1245PM,DC 216,"Weeks, Michon"
C,ART103,,,Foundation 3-D Media This course has class year limits.,,1.00,N,ALS-A,T 0800-1100 Th 0800-1050,DC 106 DC 106,"Dell, Irve"
C,ART104,A,,Foundation New Media This course has class year limits.,,1.00,N,ALS-A,MWF 1045-1245PM,DC 100,"Alvarez, Guido"
C,ART104,B,,Foundation New Media,,1.00,N,ALS-A,MWF 0200-0400PM,DC 100,"Alvarez, Guido"
C,ART151,,,Intro/Art History II This course has class-year limits. Students in Art 151 must also register for one discussion section Art 151AD or 151BD.,,1.00,N,ALS-A HWC ORC,MW 1150-1245PM,DC 305,"Thompson, Nancy M. Tradowsky, Christopher"
C,ART151,A,D,Intro/Art Hist II Discuss,,0.00,N,,F 1150-1245PM,BMC 111,"Tradowsky, Christopher"
C,ART151,B,D,Intro/Art Hist II Discuss,,0.00,N,,F 1150-1245PM,DC 305,"Thompson, Nancy M."
C,ART205,,,Photography,,1.00,N,ALS-A,T 0800-1100 Th 0800-1050,DC 102 DC 102,"Ojala, Margaret"
C,ART222,,,Watercolor Painting,,1.00,N,,MWF 1045-1245PM,DC 116,"Arneson, Wendell"
C,ART224,,,Sculpt: Metal Direct,,1.00,N,,T 1145-0245PM Th 1245-0345PM,DC 105 DC 105,"Dell, Irve"
C,ART226,,,Printmkg: Relief/Litho,,1.00,N,,T 1145-0245PM Th 1245-0345PM,DC 212 DC 212,"Saurer, John"
O,ART228,,,Animated Art,,1.00,N,,MWF 0800-1000,DC 100,"Alvarez, Guido"
C,ART234,,,Intermediate Ceramics,,1.00,N,,T 1145-0245PM Th 1245-0345PM,DC 115 DC 115,"Gallas, Ron"
C,ART238,,,Intermed Photography,,1.00,N,,T 1145-0245PM Th 1245-0345PM,DC 102 DC 102,"Ojala, Margaret"
C,ART269,,,African Art History,,1.00,N,ALS-A MCG WRI,MWF 0200-0255PM,DC 204,"Tradowsky, Christopher"
C,ART271,,,Gothic Art,,1.00,N,ALS-A WRI,MWF 1045-1140,DC 204,"Thompson, Nancy M."
C,ART294,,,Academic Internship,,1.00,Y,,,,Staff
O,ART298,,,IS/,,1.00,N,,,,Staff
C,ART298,A,,IS/Vessel Orient Ceramic,,1.00,N,,,,"Gallas, Ron"
C,ART298,B,,IS/The Figure in Costume,,1.00,N,,,,"Weeks, Michon"
C,ART298,C,,IS/Curation Studies,,1.00,N,,,,"Tradowsky, Christopher"
C,ART298,D,,IS/Adv Photography,,1.00,N,,,,"Ojala, Margaret"
C,ART298,E,,IS/Furniture Design,,1.00,N,WRI,,,"Dell, Irve"
C,ART298,F,,IS/Abstract Ceramic Sculp,,1.00,N,,,,"Gallas, Ron"
O,ART298,G,,IS/Industrial Design,,1.00,N,,,,"Dell, Irve"
O,ART298,H,,IS/Unrestrictive Art,,1.00,N,,,,"Dell, Irve"
O,ART343,,,Sr Studies/Studio Art Open to Seniors only.,,1.00,N,,MW 0100-0300PM Th 0700-0900PM,TBA DC 305,"Dell, Irve Gallas, Ron Arneson, Wendell"
C,ART350,,,Methods of Art Hist Open only to seniors and juniors.,,1.00,N,ORC WRI,M 0700-1000PM,DC 204,"Rohn, Matthew"
C,ART394,,,Academic Internship,,1.00,Y,,,,Staff
O,ART398,,,IR/,,1.00,N,,,,Staff
C,ART398,A,,IR/Art Apprenticeship 3,,1.00,N,,,,"Saurer, John"
C,ART398,B,,IR/Advanced Painting,,1.00,N,,,,"Arneson, Wendell"
C,AS/HI251,,,Modern China,,1.00,N,MCG,MWF 0200-0255PM,HH 317,"Entenmann, Robert"
O,AS/HI251,,F,FLC - Chinese,,0.25,N,,,,"Entenmann, Robert"
O,AS/HI345,,S,Sem: East Asia,,1.00,N,WRI,T 0120-0245PM Th 0215-0335PM,HH 515 HH 515,"Entenmann, Robert"
C,AS/RE254,,,Jesus on the Indian Road,,1.00,N,BTS-T,MWF 1045-1140,BMC 110,"Lagerquist, L. DeAne"
C,AS/RE256,,,Religions China/Japan,,1.00,N,MCG,MWF 1150-1245PM,OM 10,"Reed, Barbara"
C,ASIAN220,,,AsiaCon3:InterpretJourney Registration restricted to students in the Asian Con program.,,1.00,N,ALS-A ALS-L HBS MCG ORC WRI,T 1145-0110PM Th 1245-0205PM,HH 317 HH 317,"Tegtmeyer Pak, Katherine S. Entenmann, Robert"
C,ASIAN235,,,Mod Japanese Lit-Tr,,1.00,N,ALS-L MCG,MWF 1045-1140,TOH 210,"Bridges IV, William H."
O,ASIAN240,,,Talking in Japan/US,,1.00,N,HBS MCG ORC,T 0120-0245PM Th 0215-0335PM,TOH 112 TOH 112,"Ito, Rika"
C,ASIAN268,,,Chinese Calligraphy,,1.00,N,ALS-A MCG,T 1145-0110PM Th 1245-0205PM,HH 307 HH 307,"Wan, Pin Pin"
O,ASIAN275,,,ID Approaches to Asia,,0.25,N,,M 0700-0900PM,RML 250,"MacPherson, Kristina"
C,ASIAN294,,,Academic Internship,,1.00,Y,,,,Staff
O,ASIAN298,,,IS/,,1.00,N,,,,Staff
O,ASIAN298,A,,IS/Japn-Eng Translation,,1.00,N,,,,"Akimoto, Hiroe"
C,ASIAN394,,,Academic Internship,,1.00,Y,,,,Staff
O,ASIAN398,,,IR/,,1.00,N,,,,Staff
C,ASIAN399,,S,Sem: Asia,,1.00,N,WRI,Th 0700-1000PM,DC 204,"Kucera, Karil J."
O,BI/ES350,,,Biogeochemistry Open only to seniors and juniors. Students in BI/ES 350 must also register for lab BI/ES 350 AL or BL.,,1.00,N,,T 1145-0110PM Th 1245-0205PM,RNS 435 RNS 435,"Schade, John D."
O,BI/ES350,A,L,Biogeochemistry Lab,,0.00,N,,Th 0800-1050,RNS 454,"Schade, John D."
C,BI/ES350,B,L,Biogeochemistry Lab,,0.00,N,,Th 0215-0505PM,RNS 454,"Schade, John D."
C,BI/ES396,,,Research: Isotope Ecology Permission of the instructor is required to register. Closed during web registration.,,1.00,N,WRI,T 0935-1100 Th 0930-1050,RNS 426 RNS 426,"Umbanhowar, Charles Jr."
O,BI/ES398,,,IR/Adv Biogeochemistry,,1.00,N,,,,"Schade, John D."
C,BIO121,,,"Biological Science Students in Bio 121 must also register for one lab Bio 121 AL, BL, or CL.",,1.00,N,IST SED,MWF 1150-1245PM,RNS 410,"McDonald, Eric"
C,BIO121,A,L,Biological Science Lab,,0.00,N,,M 0200-0400PM,RNS 454,"McDonald, Eric"
C,BIO121,B,L,Biological Science Lab,,0.00,N,,T 0900-1100,RNS 454,"McDonald, Eric"
C,BIO121,C,L,Biological Science Lab,,0.00,N,,T 0120-0320PM,RNS 454,"McDonald, Eric"
C,BIO126,A,,"Evolution and Diversity Students in Bio 126 A must also register for one lab Bio 126 GL, HL, or IL.",,1.00,N,SED,MWF 0800-0855,RNS 410,"Giarla, Thomas C."
O,BIO126,B,,"Evolution and Diversity Students in Bio 126 B must also register for one lab Bio 126 DL, EL or FL.",,1.00,N,SED,T 1145-0110PM Th 1245-0205PM,RNS 410 RNS 410,"Deacon, Nicholas J."
O,BIO126,C,,"Evolution and Diversity Students in Bio 126 C must also register for one lab Bio 126 AL, BL, or CL.",,1.00,N,SED,MWF 0905-1000,TOH 280,"Angell, Diane K."
C,BIO126,G,L,Evolution & Diversity Lab,,0.00,N,,Th 0830-1100,RNS 255,"Giarla, Thomas C."
C,BIO126,H,L,Evolution & Diversity Lab,,0.00,N,,Th 0215-0445PM,RNS 255,"Giarla, Thomas C."
C,BIO126,I,L,Evolution & Diversity Lab,,0.00,N,,F 0200-0430PM,RNS 255,"Giarla, Thomas C."
C,BIO126,D,L,Evolution & Diversity Lab,,0.00,N,,T 0300-0530PM,RNS 255,"Deacon, Nicholas J."
O,BIO126,E,L,Evolution & Diversity Lab,,0.00,N,,W 1150-0220PM,RNS 255,"Deacon, Nicholas J."
C,BIO126,F,L,Evolution & Diversity Lab,,0.00,N,,W 0300-0530PM,RNS 255,"Deacon, Nicholas J."
O,BIO126,A,L,Evolution & Diversity Lab,,0.00,N,,M 0120-0350PM,RNS 255,"Angell, Diane K."
O,BIO126,B,L,Evolution & Diversity Lab,,0.00,N,,T 0830-1100,RNS 255,"Angell, Diane K."
