St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,ART 207,,,Ceramics,,1.00 ,N,ALS-A,M-F 0100-0400PM,DC 115,"Fisher, Kathryne"
X,ASIAN 130,,,Japanese SciFi/Glob Persp This course has been canceled.,,1.00 ,N,ALS-L MCG,M-F 1000-1130,,"Bridges IV, William H."
O,BIO 125,,,Cell Bio & Genetics,,1.00 ,N,IST SED,M-F 1000-1130,RNS 390,"Giannini, John"
O,BIO 125,,L,    Cell Bio & Genetics Lab,,0.00 ,N,,W 0100-0500PM,RNS 255,"Giannini, John"
O,BIO 128,,,"Water:Prec, Precar, &Prob",,1.00 ,N,IST,,,"Van Wylen, David"
C,CHEM 123,,,Atom/Molec Structure This course is a special offering.,,1.00 ,N,,M-F 1000-1130,RNS 310,"Riley, Patrick N."
O,CHEM 125,,,Struct Chem & Equilib,,1.00 ,N,SED,M-F 1000-1130,RNS 310,"Riley, Patrick N."
O,CHEM 125,,L,    Struct Chem & Equilib Lab,,0.00 ,N,,MW 0100-0400PM,RNS 355,"Riley, Patrick N."
O,CHEM 247,,,Organic Chemistry I,,1.00 ,N,,M-F 0800-0930,RNS 310,"Pearson, Wesley"
O,CHEM 253,A,L,    Synthesis Lab I,,0.25 ,Y,,TTh 0100-0400PM,RNS 340,"Terrell, Cassidy R."
O,CHEM 253,B,L,    Synthesis Lab I,,0.25 ,Y,,MW 0100-0400PM,RNS 340,"Terrell, Cassidy R."
O,CHEM 379,,,Biochemistry I,,1.00 ,N,IST,M-F 1000-1130,TOH 182,"Abdella, Beth"
C,CSCI 390,,S,Sem: Senior Capstone,,1.00 ,N,,,,"Brown, Richard"
O,CSCI 398,,,IR/HPC in Context,,1.00 ,N,,,,"Brown, Richard"
O,ENGL 206,,T,Top: African Literature,,1.00 ,N,ALS-L MCG,M-F 1000-1130,RML 520,"Mbele, Joseph L."
O,ENGL 210,,,Post-Colonial Lit,,1.00 ,N,ALS-L MCG,M-F 0230-0400PM,RML 520,"Mbele, Joseph L."
O,ENGL 298,,,IS/19-20 C Am Lit Styles,,1.00 ,N,,,,"Gallego, Carlos"
O,ES/PS 225,,,Env Political Theory,,1.00 ,N,EIN WRI,M-F 1000-1130,HH 319,"Lott, Anthony"
O,ESAC 133,,,Individual Fitness.50,,0.50 ,N,SPM,M-F 0230-0400PM,TBA,"Ludwig, Michael M."
O,ESAC 140,,,Wt Training Co-Ed .50,,0.50 ,N,SPM,M-F 0800-0930,SAC 112,"McCarthy, Robert K."
C,GERM 232,,,Intermed German II This course is a special offering.,,1.00 ,N,FOL-G,,,"Rippley, Lavern"
C,ID 250,,,Res Opp Science for Sophs Prerequisite: completion of Summer Bridge program or permission of instructor.,,1.00 ,N,,M-F 1100-1200PM TTh 0100-0400PM,RNS 400 RNS 400,"Richey, Matthew Umbanhowar, Charles Jr."
O,MUSIC 223,,,Composition I,,1.00 ,N,,M-F 1230-0200PM,CHM 224,"Mahr, Timothy"
O,PSCI 111,,,American Politics,,1.00 ,N,HBS MCD,M-F 1000-1130,HH 302,"Anderson, Joshua"
O,PSCI 285,,,International Law,,1.00 ,N,HWC ORC,M-F 1230-0200PM,HH 319,"Lott, Anthony"
O,PSYCH 125,,,Principles: Psych,,1.00 ,N,HBS IST,M-F 1000-1130,RNS 124,"Ori_a, M. Minda"
O,PSYCH 249,,,Social Psychology,,1.00 ,N,HBS,M-F 0800-0930,RNS 124,"Ori_a, M. Minda"
O,PSYCH 298,,,IS/Psychology of PTSD,,1.00 ,N,,,,"Davenport, Nicholas D."
O,PSYCH 298,A,,IS/Psycholinguistics,,1.00 ,N,,,,"Loebach, Jeremy"
O,REL 223,,,St. Paul/Letter/Gospel,,1.00 ,N,BTS-T WRI,M-F 1230-0200PM,OM 110,"Hanson, James"
O,REL 276,,,The Ethics of Jesus,,1.00 ,N,EIN WRI,M-F 0230-0400PM,OM 110,"Hanson, James"
O,REL 298,,,IS/Interdialogue & Peace,,1.00 ,N,,,,"Wilson, Charles"
O,REL 398,,,IR/Religion in Film,,1.00 ,N,,,,"Hanson, James"
X,SOAN 121,,,Intro to Sociology,,1.00 ,N,HBS MCD,M-F 0800-0930,,"Al Atiyat, Ibtesam"
X,SOAN 235,,,Intro Islamic Feminisms,,1.00 ,N,MCG,M-F 1000-1130,,"Al Atiyat, Ibtesam"
X,SOAN 264,,,Race/Class-Am Culture This course has been canceled.,,1.00 ,N,HBS MCD,M-F 1000-1130,,"Thornhill, Theodore E."
X,SPAN 231,,,Intermed Spanish I,,1.00 ,N,,M-F 1230-0200PM,,"Medina-Vilarino, Kristina"
X,SPAN 232,,,Intermed Spanish II,,1.00 ,N,FOL-S MCD,M-F 1000-1130,,"Medina-Vilarino, Kristina"
X,STAT 212,,,Statistics for Science,,1.00 ,N,AQR,M-F 1000-1130,,Staff
X,THEAT 100,,,Oral Interpretation,,1.00 ,N,ALS-A ORC,M-F 1000-1130,,"Wilson, Karen"
X,THEAT 380,,T,Top: Who Owns the Arts,,1.00 ,N,EIN ORC,M-F 0800-0930,,"Wilson, Karen"
